sex,fans_number,member_number,total_live_number,totalSales_revenue,totalSales_volume,live_number_within30.1,totalProductConversion_rate,average_uv_value,total_product_number,total_fans_change,total_video_number,average_videoLike_number,average_videoViewe_number,average_videoComment_number,average_femaleFans_rate,average_maleFans_rate,living_time(h),viewer_number,product_number,comment_number,sales_number,increaseFans_number,fans_rate,like_number,ProductConversion_rate,perSales,UV_value,lucky_bag,averageStay_time,interact_rate,femaleFans_rate,maleFans_rate,product_interest_Apparel,product_interest_Baby Care Products,product_interest_Beauty & Skincare,product_interest_Food & Beverages,product_interest_Household Products,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
2,22783113,212134,502,24114161.48,248110,25,2.5,2.38,262,-61347,73,19364,1692906,964,11.92,88.08,4.226388888888889,191730,97,1488,6178,352,0.18,25578,3.22,93.41,3.009880877580674,5,81,1.88,90.52453468697124,9.475465313028764,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,22783113,212134,502,24114161.48,248110,25,2.5,2.38,262,-61347,73,19364,1692906,964,11.92,88.08,4.041944444444445,179793,102,1474,5191,414,0.23,33938,2.89,88.54,2.556265269772858,4,80,2.5,91.23278468256632,8.767215317433658,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,22783113,212134,502,24114161.48,248110,25,2.5,2.38,262,-61347,73,19364,1692906,964,11.92,88.08,4.2027777777777775,176817,101,1326,4292,240,0.14,39239,2.43,87.27,2.118311011250636,7,80,2.01,90.8311910882605,9.168808911739502,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,19602787,3833694,778,381125879.48,2316294,77,1.97,3.19,3194,-26306,47,9784,2538480,660,61.06,38.94,20.183888888888887,4988523,133,21855,64688,9779,0.2,2026141,1.3,144.62,1.8753989447377517,94,92,0.8,41.92779149060787,58.07220850939213,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19602787,3833694,778,381125879.48,2316294,77,1.97,3.19,3194,-26306,47,9784,2538480,660,61.06,38.94,19.758333333333333,4707367,180,34222,66952,8750,0.19,936975,1.42,161.82,2.301562818450314,65,97,0.92,43.98942169330689,56.01057830669311,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19602787,3833694,778,381125879.48,2316294,77,1.97,3.19,3194,-26306,47,9784,2538480,660,61.06,38.94,19.836944444444445,3683167,91,9257,84170,8674,0.24,1273172,2.29,146.04,3.337409381654429,125,90,1.08,62.811528094546965,37.18847190545304,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19602787,3833694,778,381125879.48,2316294,77,1.97,3.19,3194,-26306,47,9784,2538480,660,61.06,38.94,16.7425,3555099,152,14223,52235,6141,0.17,773424,1.47,209.66,3.0805071532466477,38,84,1.03,56.500329742800616,43.49967025719938,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19602787,3833694,778,381125879.48,2316294,77,1.97,3.19,3194,-26306,47,9784,2538480,660,61.06,38.94,13.611944444444443,2980994,111,14069,40590,5704,0.19,587288,1.36,312.57,4.256057845134877,50,86,1.43,42.76538596286348,57.23461403713653,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19602787,3833694,778,381125879.48,2316294,77,1.97,3.19,3194,-26306,47,9784,2538480,660,61.06,38.94,7.315,2668999,109,20242,42699,8048,0.3,1087084,1.6,270.98,4.33512668232547,13,94,1.6,47.8855069542431,52.1144930457569,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,19602787,3833694,778,381125879.48,2316294,77,1.97,3.19,3194,-26306,47,9784,2538480,660,61.06,38.94,9.108888888888888,2579021,93,18371,18271,15062,0.58,472503,0.71,432.97,3.067371533616825,0,77,0.93,50.42937931997486,49.57062068002514,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19602787,3833694,778,381125879.48,2316294,77,1.97,3.19,3194,-26306,47,9784,2538480,660,61.06,38.94,19.67305555555556,2476809,81,3788,46004,2687,0.11,242293,1.86,131.55,2.443310323888519,42,83,0.55,63.879154078549846,36.12084592145016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19602787,3833694,778,381125879.48,2316294,77,1.97,3.19,3194,-26306,47,9784,2538480,660,61.06,38.94,6.776944444444444,2326732,113,15870,504674,20812,0.89,1190068,21.69,23.81,5.164307234352733,4,85,1.4,51.74507658643326,48.25492341356674,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
